Participant #,Participant ID,Stimulus squence order,Stimulus type,Stimulus ID,L*,Preceding L*,Hue angle,Patch Chroma value,Eccentricity,Location Angle,Reported,Number of reported,Fixated,Number of fixation per path,Total number of fixations per stimulus,Order of first fixation on the path,Distance between fixation and path,Angle between fixation and path,Dwell time per patch,Total dwell time per stimulus
011,SK,176,H10LAll,H10LAll_All,All,All,10,2.05,8.5524,197.1482,FALSE,4,TRUE,1,23,6,2.7136,21.1613,379.98,4.8878
011,SK,176,H10LAll,H10LAll_All,All,All,10,3.175,6.1547,323.5609,FALSE,4,FALSE,0,23,0,6.6465,9.7226,0,4.8878
011,SK,176,H10LAll,H10LAll_All,All,All,10,3.55,5.4287,347.6816,FALSE,4,TRUE,1,23,2,2.6155,20.556,99.97,4.8878
011,SK,176,H10LAll,H10LAll_All,All,All,10,5.05,13.2204,305.1342,FALSE,4,FALSE,0,23,0,4.2592,129.9462,0,4.8878
011,SK,176,H10LAll,H10LAll_All,All,All,10,6.175,12.053,358.4571,TRUE,4,TRUE,5,23,3,1.7406,94.7079,667.93,4.8878
011,SK,176,H10LAll,H10LAll_All,All,All,10,6.925,2.0213,9.9443,TRUE,4,TRUE,5,23,1,0.88981,306.6071,839.87,4.8878
011,SK,176,H10LAll,H10LAll_All,All,All,10,7.3,9.5724,140.422,TRUE,4,TRUE,6,23,5,0.50197,63.4349,763.9,4.8878
011,SK,176,H10LAll,H10LAll_All,All,All,10,9.175,6.0634,114.6955,TRUE,4,TRUE,5,23,4,0.65941,68.1986,695.87,4.8878
011,SK,175,H10LAll,H10LAll_75,All,75,10,1.3,12.2466,276.5064,FALSE,4,FALSE,0,11,0,4.6927,212.9299,0,5.7694
011,SK,175,H10LAll,H10LAll_75,All,75,10,1.675,6.4725,249.0856,FALSE,4,FALSE,0,11,0,5.4473,11.0152,0,5.7694
011,SK,175,H10LAll,H10LAll_75,All,75,10,2.8,9.5474,232.8278,FALSE,4,TRUE,1,11,4,2.2578,347.4712,408.01,5.7694
011,SK,175,H10LAll,H10LAll_75,All,75,10,3.925,7.7348,262.8115,FALSE,4,TRUE,1,11,5,2.4521,67.4902,408.01,5.7694
011,SK,175,H10LAll,H10LAll_75,All,75,10,6.55,9.1796,184.5959,TRUE,4,TRUE,2,11,6,1.0862,334.3978,487.89,5.7694
011,SK,175,H10LAll,H10LAll_75,All,75,10,8.05,6.3674,4.8837,TRUE,4,TRUE,3,11,3,1.6536,125.4555,684,5.7694
011,SK,175,H10LAll,H10LAll_75,All,75,10,8.8,12.427,144.0849,TRUE,4,TRUE,1,11,2,2.0271,343.0245,240,5.7694
011,SK,175,H10LAll,H10LAll_75,All,75,10,9.55,4.5665,110.9735,TRUE,4,TRUE,3,11,1,0.3899,47.1211,651.82,5.7694
011,SK,89,H10LAll,H10LAll_75,All,75,10,2.425,9.9203,214.8209,FALSE,6,FALSE,0,17,0,3.654,81.3268,0,6.4157
011,SK,89,H10LAll,H10LAll_75,All,75,10,4.3,13.9525,323.4187,FALSE,6,TRUE,1,17,7,3.3184,184.9392,215.88,6.4157
011,SK,89,H10LAll,H10LAll_75,All,75,10,4.675,11.881,356.7742,TRUE,6,TRUE,1,17,3,1.3342,173.8534,220.03,6.4157
011,SK,89,H10LAll,H10LAll_75,All,75,10,5.425,7.8857,150.0066,TRUE,6,TRUE,1,17,4,1.9913,294.201,356.01,6.4157
011,SK,89,H10LAll,H10LAll_75,All,75,10,5.8,9.9074,96.3893,TRUE,6,TRUE,4,17,5,2.1829,193.5166,971.9,6.4157
011,SK,89,H10LAll,H10LAll_75,All,75,10,7.675,11.7585,112.6562,TRUE,6,TRUE,3,17,6,1.1677,354.9869,423.86,6.4157
011,SK,89,H10LAll,H10LAll_75,All,75,10,8.425,12.6936,127.6912,TRUE,6,TRUE,2,17,2,1.6611,296.2502,463.76,6.4157
011,SK,89,H10LAll,H10LAll_75,All,75,10,9.925,7.294,73.4327,TRUE,6,TRUE,5,17,1,0.40406,45,755.95,6.4157
011,SK,193,H30LAll,H30LAll_All,All,All,30,1.3,6.0807,313.2084,FALSE,3,FALSE,0,4,0,4.7494,61.2324,0,5.6319
011,SK,193,H30LAll,H30LAll_All,All,All,30,2.05,15.4899,244.9831,FALSE,3,FALSE,0,4,0,8.5691,119.0679,0,5.6319
011,SK,193,H30LAll,H30LAll_All,All,All,30,2.425,11.7373,162.6749,FALSE,3,FALSE,0,4,0,6.6131,73.6903,0,5.6319
011,SK,193,H30LAll,H30LAll_All,All,All,30,3.175,13.4187,40.1951,FALSE,3,FALSE,0,4,0,6.2534,27.8195,0,5.6319
011,SK,193,H30LAll,H30LAll_All,All,All,30,3.925,9.6629,62.7569,FALSE,3,TRUE,1,4,3,2.9005,2.4195,139.87,5.6319
011,SK,193,H30LAll,H30LAll_All,All,All,30,4.3,4.9962,49.5027,TRUE,3,FALSE,0,4,0,2.4748,291.275,0,5.6319
011,SK,193,H30LAll,H30LAll_All,All,All,30,8.8,15.2319,105.9454,TRUE,3,TRUE,1,4,2,1.0296,50.6307,188.02,5.6319
011,SK,193,H30LAll,H30LAll_All,All,All,30,9.55,7.7127,126.6434,TRUE,3,TRUE,2,4,1,0.5514,308.991,496.01,5.6319
011,SK,56,H30LAll,H30LAll_50,All,50,30,2.8,13.2551,237.4074,FALSE,6,FALSE,0,16,0,6.5888,284.8971,0,6.0389
011,SK,56,H30LAll,H30LAll_50,All,50,30,3.55,5.9183,343.267,FALSE,6,FALSE,0,16,0,3.6125,270.6474,0,6.0389
011,SK,56,H30LAll,H30LAll_50,All,50,30,4.675,10.2369,355.2528,TRUE,6,TRUE,3,16,3,0.9851,320.0425,987.68,6.0389
011,SK,56,H30LAll,H30LAll_50,All,50,30,5.425,7.3625,9.8706,TRUE,6,TRUE,7,16,2,1.7683,288.8532,2311.54,6.0389
011,SK,56,H30LAll,H30LAll_50,All,50,30,6.55,10.3574,165.2157,TRUE,6,TRUE,2,16,5,1.1113,224.2559,195.97,6.0389
011,SK,56,H30LAll,H30LAll_50,All,50,30,7.3,11.6052,136.5724,TRUE,6,TRUE,1,16,4,2.327,318.1995,248.01,6.0389
