Participant #,Participant ID,Stimulus squence order,Stimulus type,Stimulus ID,L*,Preceding L*,Hue angle,Patch Chroma value,Eccentricity,Reported,Number of reported,Fixated,Number of fixation per path,Total number of fixations per stimulus,Order of first fixation on the path,Dwell time per patch,Total dwell time per stimulus
011,SK,176,H10LAll,H10LAll_All,All,All,10,2.05,8.5524,FALSE,4,FALSE,0,5,0,0,4.8878
011,SK,176,H10LAll,H10LAll_All,All,All,10,3.175,6.1547,FALSE,4,FALSE,0,5,0,0,4.8878
011,SK,176,H10LAll,H10LAll_All,All,All,10,3.55,5.4287,FALSE,4,FALSE,0,5,0,0,4.8878
011,SK,176,H10LAll,H10LAll_All,All,All,10,5.05,13.2204,FALSE,4,FALSE,0,5,0,0,4.8878
011,SK,176,H10LAll,H10LAll_All,All,All,10,6.175,12.053,TRUE,4,TRUE,1,5,3,112.04,4.8878
011,SK,176,H10LAll,H10LAll_All,All,All,10,6.925,2.0213,TRUE,4,TRUE,2,5,1,415.91,4.8878
011,SK,176,H10LAll,H10LAll_All,All,All,10,7.3,9.5724,TRUE,4,TRUE,1,5,4,68.03,4.8878
011,SK,176,H10LAll,H10LAll_All,All,All,10,9.175,6.0634,TRUE,4,TRUE,1,5,2,139.98,4.8878
011,SK,175,H10LAll,H10LAll_75,All,75,10,1.3,12.2466,FALSE,4,FALSE,0,6,0,0,5.7694
011,SK,175,H10LAll,H10LAll_75,All,75,10,1.675,6.4725,FALSE,4,FALSE,0,6,0,0,5.7694
011,SK,175,H10LAll,H10LAll_75,All,75,10,2.8,9.5474,FALSE,4,FALSE,0,6,0,0,5.7694
011,SK,175,H10LAll,H10LAll_75,All,75,10,3.925,7.7348,FALSE,4,FALSE,0,6,0,0,5.7694
011,SK,175,H10LAll,H10LAll_75,All,75,10,6.55,9.1796,TRUE,4,TRUE,1,6,4,215.88,5.7694
011,SK,175,H10LAll,H10LAll_75,All,75,10,8.05,6.3674,TRUE,4,TRUE,2,6,3,503.99,5.7694
011,SK,175,H10LAll,H10LAll_75,All,75,10,8.8,12.427,TRUE,4,TRUE,1,6,2,240,5.7694
011,SK,175,H10LAll,H10LAll_75,All,75,10,9.55,4.5665,TRUE,4,TRUE,2,6,1,415.78,5.7694
011,SK,89,H10LAll,H10LAll_75,All,75,10,2.425,9.9203,FALSE,6,FALSE,0,11,0,0,6.4157
011,SK,89,H10LAll,H10LAll_75,All,75,10,4.3,13.9525,FALSE,6,FALSE,0,11,0,0,6.4157
